c,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,Owner GEM Entity ID,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code
M1691,,India,Kakatiya Khani-1 & 1A Coal Mine,"KTK-1&1A, Kakatiya Khani No. 1 &1A Incline",,,https://www.gem.wiki/KTK-1_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.6,0.221,2023,,Underground,Bord and Pillar,5.6,300,Estimate,405,Estimate,Subbituminous,Thermal,,,,,18,2023,80,81,1988,,-,,Godavari,Bhupalpalli,Jayashanker Bhupalpalli,Telangana,Southern Asia,Asia,18.465613,79.840804,Approximate,Coal Plant,Kakatiya Power Station,https://www.gem.wiki/Kakatiya_Power_Station,,,,,,,,1.2,0.00,3.3,1.6,0.1,0,356
M1693,,India,Kakatiya Khani-3 Coal Mine,KTK-3 UG,,,https://www.gem.wiki/KTK-3_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,3,1.54,2023,,Underground & Surface,,13.37,300,Estimate,1315,Estimate,Subbituminous,Thermal,,,,,-,,-,-,2019,,-,,Godavari,Bhupalpalli,Jayashanker Bhupalpalli,Telangana,Southern Asia,Asia,18.434261,79.857403,Approximate,,,,,,,,,,,8.1,0.01,3.3,1.6,0.4,0.2,356
M1694,,India,Kakatiya Khani-5 &5A Coal Mine,"KTK-5&5A, Kakatiya Khani-5 Incline",,,https://www.gem.wiki/KTK-5_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.6,0.208,2023,,Underground,,3.17,426,Exact,495,Estimate,Subbituminous,Thermal,,,,,9,2023,28,43,1993,,-,,Godavari,Bhupalpalli,Jayashanker Bhupalpalli,Telangana,Southern Asia,Asia,18.433594,79.858582,Exact,,,,,,,,,,,1.4,0.00,4.1,1.6,0.1,0,356
M1695,,India,Kakatiya Khani-6 & 6A Incline,"KTK-6&6A,Kakatiya Khani No.6 Incline",,,https://www.gem.wiki/KTK-6_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.312,0.12,2023,,Underground,Bord and Pillar,3,300,Estimate,318,Estimate,Subbituminous,Thermal,,,,,1,2023,9,8,1999,,-,,Godavari,Bhupalpalli,Jayashanker Bhupalpalli,Telangana,Southern Asia,Asia,18.465613,79.840804,Approximate,,,,,,,,,,,0.6,0.00,3.3,1.6,0,0,356
M1697,,India,Kanchan Coal Mine,"Kanchan West and Lohangi, Kanchan Expansion Project",,,https://www.gem.wiki/Kanchan_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.6,1.52,2023,,Surface,Open Pit,2.03,50,Estimate,414,Estimate,Subbituminous,Thermal,,,,,6,,11,4,,,-,,Johilla,Bandavgarh,Umaria,Madhya Pradesh,Southern Asia,Asia,23.345851,80.871272,Exact,,,,,,,,,,,1.8,0.00,0.8,1.5,0.1,0,356
M1698,,India,Karkati Coal Mine,Rajendra UG and Navagaon UG,,,https://www.gem.wiki/Karkati_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.6,0.16,2022,,Underground,,11.2,300,Estimate,283,Estimate,Subbituminous,Thermal,,,,,2,,81,13,1993,,-,,Sohagpur,Khairaha,Shahdol,Madhya Pradesh,Southern Asia,Asia,23.154677,81.482805,Exact,,,,,,,,,,,0.8,0.00,3.3,1.6,0,0,356
M1699,,India,Kasipet-1 UG Coal Mine,,,,https://www.gem.wiki/Kasipet_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.54,0.15,2023,,Underground,Bord and Pillar,3.15,300,Estimate,1478,Exact,Subbituminous,Thermal,,,,,3,2022,20,20,1994,,7,2024,Godavari,Kasipet Mandal,Mancherial,Telangana,Southern Asia,Asia,19.03497042,79.43009821,Exact,,,,,,,,,,,0.8,0.00,3.3,1.6,0,0,356
M1700,,India,Kathautia Coal Mine,,,,https://www.gem.wiki/Kathautia_coal_mine,,Operating,,,,Hindalco Industries Ltd [100%],E100000120560 [100%],,Aditya Birla Group,India,0.6,0.18,2023,,Surface,Open Pit,4.5,60,Estimate,361,Estimate,Bituminous,Met,,,,,26,,29,144,2012,,-,,Daltonganj,Kathautia,Palamau,Jharkhand,Southern Asia,Asia,24.132523,84.08231,Exact,,,,,,,,,,,0.9,0.00,3.5,1.5,0.1,0,356
M1701,,India,Katkona Coal Mine,,,,https://www.gem.wiki/Katkona_UG_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.4,0.25,2022,,Underground,,10.65,300,Estimate,508,Estimate,Subbituminous,Thermal,,,,,14,,96,56,,,-,,Jhilimili,Katkona,Korea,Chhattisgarh,Southern Asia,Asia,23.359829,82.680745,Exact,,,,,,,,,,,1.3,0.00,3.3,1.6,0.1,0,356
M1703,,India,Khairaha Coal Mine,,,,https://www.gem.wiki/Khairaha_UG_Coal_Mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.6,0.82,2023,,Underground,,4.7,300,Estimate,436,Estimate,Subbituminous,Thermal,,,,,10,,29,12,2012,,-,,Sohagpur,Burhar,Shahdol,Madhya Pradesh,Southern Asia,Asia,23.160448,81.461364,Exact,,,,,,,,,,,4.3,0.00,3.3,1.6,0.2,0.1,356
M1704,,India,Kondapuram Coal Mine,,,,https://www.gem.wiki/Kondapuram_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.54,0.132,2023,,Underground,,4.77,243,Exact,281,Estimate,Subbituminous,Thermal,,,,,8,2023,26,61,2015,,-,,Godavari,Ramanujvaram,Khammam,Telangana,Southern Asia,Asia,17.9377778,79.34805556,Exact,,,,,,,,,,,0.6,0.00,2.9,1.6,0,0,356
M1705,,India,Kurasia Coal Mine,,,,https://www.gem.wiki/Kurasia_UG_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.5,0.2,2022,,Underground,,4.36,300,Estimate,303,Estimate,Subbituminous,Thermal,,,,,5,2022,-,25,2005,,-,,Chirimiri,,Korba,Chhattisgarh,Southern Asia,Asia,23.178488,82.368221,Exact,,,,,,,,,,,1.1,0.00,3.3,1.6,0.1,0,356
M1708,,India,Makardhokra I Coal Mine,Makardhokda-I Opencast Mine,,,https://www.gem.wiki/Makardhokra-I_Opencast_Coal_Mine_Project,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,3,4.2,2023,,Surface,Open Pit,6.14,50,Estimate,457,Estimate,Subbituminous,Thermal,,,,,28,,53,7,,,-,,Umrer Nand Bander,Umrer,Nagpur,Maharashtra,Southern Asia,Asia,20.865366,79.285604,Exact,,,,,,,,,,,5,0.00,0.8,1.5,0.3,0.1,356
M1711,,India,Meera Coal Mine,,,,https://www.gem.wiki/Meera_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.6,0.08,2022,,Underground,,3.08,300,Estimate,247,Estimate,Subbituminous,Thermal,,,,,5,,-,63,1990,,-,,Sohagpur,,Anuppur,Madhya Pradesh,Southern Asia,Asia,23.186224,81.986798,Exact,,,,,,,,,,,0.4,0.00,3.3,1.6,0,0,356
M1714,,India,Nawapara Coal Mine,NAVAPARA UG,,,https://www.gem.wiki/Nawapara_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.36,0.12,2022,,Underground,,4.51,300,Estimate,301,Estimate,Subbituminous,Thermal,,,,,5,2022,44,42,2006,,-,,Bisrampur,Maheshpur,Surguja,Chhattisgarh,Southern Asia,Asia,23.3666667,83.09805556,Exact,,,,,,,,,,,0.6,0.00,3.3,1.6,0,0,356
M1715,,India,Nawrozabad Coal Mine,"Nowrazabad West Colliery, NOWROZABAD",,,https://www.gem.wiki/Nowrozabad_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.45,0.1,2022,,Underground,,12.72,300,Estimate,450,Estimate,Subbituminous,Thermal,,,,,14,,19,140,1940,,-,,Johilla,Nowrozabad,Umaria,Madhya Pradesh,Southern Asia,Asia,23.356253,80.973834,Exact,,,,,,,,,,,0.5,0.00,3.3,1.6,0,0,356
M1716,,India,NCPH Coal Mine,,,,https://www.gem.wiki/NCPH_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.9,0.24,2022,,Underground,,13.59,300,Estimate,299,Estimate,Subbituminous,Thermal,,,,,8,2022,-,33,,,-,,Chirimiri,Chirimiri,Korea,Chhattisgarh,Southern Asia,Asia,23.194568,82.348931,Exact,,,,,,,,,,,1.3,0.00,3.3,1.6,0.1,0,356
M1717,,India,New Majri II A Coal Mine,,,,https://www.gem.wiki/New_Majri_II_A_OC_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,2,2.47,2023,,Surface,Open Pit,7.74,50,Estimate,520,Estimate,Subbituminous,Thermal,,,,,36,,38,15,2005,,-,,Wardha Valley,,Chandrapur,Maharashtra,Southern Asia,Asia,20.119062,79.032223,Exact,,,,,,,,,,,3,0.00,0.8,1.5,0.2,0.1,356
M1718,,India,Pandavpara Coal Mine,,,,https://www.gem.wiki/Pandavpara_UG_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.5,0.275,2023,,Underground,,9.73,300,Estimate,500,Estimate,Subbituminous,Thermal,,,,,16,,-,58,1989,,-,,Jhilimli,Sorga,Korea,Chhattisgarh,Southern Asia,Asia,23.350314,82.728807,Exact,,,,,,,,,,,1.5,0.00,3.3,1.6,0.1,0,356
M1720,,India,Rajgamar Coal Mine,Rajgamar Dipside,,,https://www.gem.wiki/Rajgamar_UG_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.45,0.15,2023,,Underground,,34.86,300,Estimate,302,Estimate,Subbituminous,Thermal,,,,,5,2023,-,33,1975,,-,,Korba,Rajgamar,Korba,Chhattisgarh,Southern Asia,Asia,22.390649,82.824423,Exact,,,,,,,,,,,0.8,0.00,3.3,1.6,0,0,356
M1721,,India,Rajnagar Coal Mine,,,,https://www.gem.wiki/Rajnagar_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.35,0.19,2022,,Underground & Surface,Mixed,19.74,60,Estimate,557,Estimate,Subbituminous,Thermal,,,,,41,,101,216,,,-,,Sohagpur,Rajnagar,Shahdol,Madhya Pradesh,Southern Asia,Asia,23.208097,82.123782,Exact,,,,,,,,,,,0.3,0.00,0.9,1.5,0,0,356
M1722,,India,Rajrappa Coal Mine,Rajrappa Area,,,https://www.gem.wiki/Rajrappa_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,2.2,1.32,2023,,Surface,Open Pit,-,50,Estimate,549,Estimate,Subbituminous,Thermal,,,,,78,,-,59,1977,,-,,Ramgarh,Ramgarh,Bokaro,Jharkhand,Southern Asia,Asia,23.615,85.682,Exact,,,,,,,,,,,1.6,0.00,0.8,1.5,0.1,0,356
M1723,,India,Ramkrishnapur Coal Mine,"RKPOCP, Ramakrishnapur Open Cast Project Phase-I",,,https://www.gem.wiki/Ramakrishnapura_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,2.6,1.872,2023,,Surface,Open Pit,6.37,160,Exact,614,Estimate,Subbituminous,Thermal,,,,,3,2023,31,2,2013,,-,,Godavari,Doragari Pall,Mancherial,Telangana,Southern Asia,Asia,18.9030556,79.46583333,Exact,,,,,,,,,,,5.9,0.00,2.1,1.5,0.3,0.1,356
M1724,,India,Ramnagar Coal Mine,Ramnagore Colliery,,,https://www.gem.wiki/Ramnagar_coal_mine,,Operating,,,,Steel Authority of India Ltd [100%],E100001000703 [100%],,Steel Authority of India [SAIL],India,*,0.72,2023,,Surface,Open Pit,-,50,Estimate,353,Estimate,Subbituminous,Thermal,,,,,-,,-,-,1920,,-,,Raniganj,Ramnagar,Paschim Bardhman,West Bengal,Southern Asia,Asia,23.756027,86.835903,Exact,,,,,,,,,,,0.9,0.00,0.8,1.5,0,0,356
M1725,,India,Rani Atari Coal Mine,,,,https://www.gem.wiki/Rani_Atari_UG_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.48,0.48,2022,,Underground,,3.89,300,Estimate,654,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,-,,Sendurgarh,Rani Atari,Korba,Chhattisgarh,Southern Asia,Asia,22.86476,82.2987,Exact,,,,,,,,,,,2.5,0.00,3.3,1.6,0.1,0.1,356
M1726,,India,Ravindrakhani-5 Coal Mine,Ravindra Khani – 5 (RK-5) Incline Underground Coal Mine Expansion Project,,,https://www.gem.wiki/Ravindrakhani-5_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.5,0.28,2023,,Underground,Bord and Pillar,3.76,300,Estimate,327,Estimate,Subbituminous,Thermal,,,,,0.198,2023,30,1,1975,,-,,Godavari,Naspur,Mancherial,Telangana,Southern Asia,Asia,18.88,79.50222222,Exact,,,,,,,,,,,1.5,0.00,3.3,1.6,0.1,0,356
M1727,,India,Ravindrakhani-6 Coal Mine,Ravindrakhani – 6 (RK-6) Incline,,,https://www.gem.wiki/Ravindrakhani-6_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.5,0.19,2023,,Underground,Bord and Pillar,3.06,300,Estimate,312,Estimate,Subbituminous,Thermal,,,,,1,2023,30,5,1975,,-,,Godavari,Srirampur,Mancherial,Telangana,Southern Asia,Asia,18.8647222,79.51138889,Exact,,,,,,,,,,,1,0.00,3.3,1.6,0.1,0,356
M1728,,India,Ravindrakhani-7 Coal Mine,Ravindra khani -7 (RK-7) Incline,,,https://www.gem.wiki/Ravindrakhani-7_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.6,0.33,2023,,Underground,Bord and Pillar,4.5,300,Estimate,465,Estimate,Subbituminous,Thermal,,,,,12,2023,47,36,1975,,-,,Godavari,Srirampur,Mancherial,Telangana,Southern Asia,Asia,18.8716667,79.52055556,Exact,,,,,,,,,,,1.7,0.00,3.3,1.6,0.1,0,356
M1729,,India,Ravindrakhani-NT Coal Mine,Ravindrakhani -New Tech Incline,,,https://www.gem.wiki/Ravindra_Khani_New_Tech_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.9,0.16,2023,,Underground,,3.4,315,Exact,332,Estimate,Subbituminous,Thermal,,,,,1,2023,29,6,1983,,-,,Godavari,Srirampur,Mancherial,Telangana,Southern Asia,Asia,18.8411111,79.21666667,Exact,,,,,,,,,,,0.9,0.00,3.4,1.6,0,0,356
M1730,,India,Rehar Coal Mine,Rehar East (Binkara),,,https://www.gem.wiki/Rehar_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.31,0.07,2022,,Underground,,4.25,300,Estimate,237,Estimate,Subbituminous,Thermal,,,,,7,2023,14,100,1999,,-,,Lakhanpur,Getra,Surguja,Chhattisgarh,Southern Asia,Asia,23.101101,82.927943,Exact,,,,,,,,,,,0.4,0.00,3.3,1.6,0,0,356
M1731,,India,Saoner Coal Mine,"Saoner I, II, III",,,https://www.gem.wiki/Saoner_coal_mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,0.9,0.505,2023,,Underground,,28.71,300,Estimate,604,Estimate,Subbituminous,Thermal,,,,,45,2010,-,89,,,-,,Kamptee,Saoner,Nagpur,Maharashtra,Southern Asia,Asia,21.358103,78.930266,Exact,,,,,,,,,,,2.7,0.00,3.3,1.6,0.1,0.1,356
M1732,,India,Saraipali Coal Mine,Bud Bud,,,https://www.gem.wiki/Saraipalli_OC_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.2,2,2023,,Surface,Open Pit,-,50,Estimate,551,Estimate,Subbituminous,Thermal,,,,,32,,51,16,,,-,,Korba,Budbud,Korba,Chhattisgarh,Southern Asia,Asia,22.35732,82.296358,Exact,,,,,,,,,,,2.4,0.00,0.8,1.5,0.1,0,356
M1733,,India,Shanthikhani Coal Mine,,,,https://www.gem.wiki/Shanthikhani_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.9,0.067,2023,,Underground,Longwall,6.81,300,Estimate,378,Estimate,Subbituminous,Thermal,,,,,14,2023,69,209,1954,,15,,Godavari,Akenepalli,Mancherial,Telangana,Southern Asia,Asia,19.0177778,79.51083333,Exact,,,,,,,,,,,0.4,0.00,3.3,1.6,0,0,356
M1734,,India,Sharda Coal Mine,,,,https://www.gem.wiki/Sharda_coal_mine,,Operating,,,,South Eastern Coalfields Ltd; Western Coalfields Ltd,E100001000801; E100001000806,,Coal India,India,0.6,0.66,2022,,Surface,Open Pit,8.71,50,Estimate,300,Estimate,Subbituminous,Thermal,,,,,5,2022,-,8,1987,,-,,Sohagpur,Bakho,Shahdol,Madhya Pradesh,Southern Asia,Asia,23.208242,81.589781,Exact,,,,,,,,,,,0.8,0.00,0.8,1.5,0,0,356
M1735,,India,Sheetaldhara-Kurja and Kapidhara Coal Mines,,,,https://www.gem.wiki/Sheetaldhara_Kapildhara_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,2.16,0.8,2023,,Underground,,10.64,300,Estimate,419,Estimate,Subbituminous,Thermal,,,,,6,2022,,8,,,-,,Sohagpur,Daldal,Annupur,Madhya Pradesh,Southern Asia,Asia,23.239816,82.112069,Exact,,,,,,,,,,,4.2,0.00,3.3,1.6,0.2,0.1,356
M1737,,India,Sial Gjogri Coal Mine,Sial Ghogri UG Mine,,,https://www.gem.wiki/Sial_Gjogri_mine,,Operating,,,,Birla Corporation [100%],E100000131391 [100%],,Birla Corporation,India,0.3,0.33,2023,,Underground,,4.29,300,Estimate,264,Estimate,Bituminous,Met,,,,,6,,29,18,2016,,-,,,Parasia,Chhindwara,Madhya Pradesh,Southern Asia,Asia,22.192428,78.77264,Exact,Other Industrial,Cement Industry,,,,,,,,,5.8,0.00,10.9,1.6,0.3,0.1,356
M1739,,India,Singhali Coal Mine,,,,https://www.gem.wiki/Singhali_UG_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.42,0.122,2023,,Underground,,8.62,300,Estimate,710,Exact,Subbituminous,Thermal,,,,,-,,-,-,,,-,,Korba,Singhali,Korba,Chhattisgarh,Southern Asia,Asia,22.440833,82.567983,Exact,,,,,,,,,,,0.6,0.00,3.3,1.6,0,0,356
M1740,,India,Srirampur-II Coal Mine,,,,https://www.gem.wiki/Srirampur_OC-II_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,2.7,3.17,2023,,Surface,Open Pit,16.04,180,Exact,926,Estimate,Subbituminous,Thermal,,,,,56,2023,137,18,2013,,-,,Godavari,Srirampur,Mancherial,Telangana,Southern Asia,Asia,18.8177778,79.48055556,Exact,,,,,,,,,,,10.9,0.01,2.3,1.5,0.6,0.2,356
M1741,,India,Srirampur-III & III A Coal Mine,Srirampur– 3&3A (SRP-3&3A) Incline,,,https://www.gem.wiki/Srirampur-3%263A_Incline_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,0.4,0.23,2023,,Underground,Bord and Pillar,2.99,300,Estimate,284,Estimate,Subbituminous,Thermal,,,,,7,2023,38,30,1984,,-,,Godavari,Srirampur,Mancherial,Telangana,Southern Asia,Asia,18.75,79.25,Exact,,,,,,,,,,,1.2,0.00,3.3,1.6,0.1,0,356
M1745,,India,Talabira II & III Coal Mines,,,,https://www.gem.wiki/Talabira_coal_mines,,Operating,,,,NLC India Ltd [100%],E100001000440 [100%],,NLC India Limited,India,8,12.65,2024,,Surface,,19.14,50,Estimate,1607,Estimate,Subbituminous,Thermal,,,,,548,2022,589,43,2018,,4,2022,,Talabira,Sundergarh,Odisha,Southern Asia,Asia,21.734804,83.989432,Exact,,,,,,,,,,,15.2,0.01,0.8,1.5,0.8,0.3,356
M1746,,India,Talcher UG Coal Mine,Sonari Lignite Mine Project,,,https://www.gem.wiki/Talcher_coal_mines,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,0.36,0.36,2023,,Underground,Bord and Pillar,-,300,Estimate,493,Estimate,Subbituminous,Thermal,,,,,11,2023,-,31,1928,,-,,Talcher,,Angul,Odisha,Southern Asia,Asia,20.962009,85.178092,Exact,,,,,,,,,,,1.9,0.00,3.3,1.6,0.1,0,356
M1747,,India,Tawa Coal Mine,Tawa I and II,,,https://www.gem.wiki/Tawa_coal_mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,0.6,0.414,2023,,Underground,,5.2,300,Estimate,336,Estimate,Subbituminous,Thermal,,,,,7,,-,17,2007,,-,,Tawa,Hirapalli,Betul,Madhya Pradesh,Southern Asia,Asia,22.137615,78.170928,Exact,Coal Plant,Satpura Thermal Power Station,https://www.gem.wiki/Satpura_Thermal_Power_Station,,,,,,,,2.2,0.00,3.3,1.6,0.1,0,356
M1750,,India,Umaria Coal Mine,,,,https://www.gem.wiki/Umaria_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.35,0.117,2023,,Underground,,8.58,300,Estimate,292,Estimate,Subbituminous,Thermal,,,,,8,,68,68,,,-,,Umaria,,Umaria,Madhya Pradesh,Southern Asia,Asia,23.5,80.83,Approximate,,,,,,,,,,,0.6,0.00,3.3,1.6,0,0,356
M1751,,India,Vakilpalli Coal Mine,GDK-9 Incline Extension Vakilpally Block A Project,,,https://www.gem.wiki/Vakilpalli_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,3,0.35,2023,,Underground,,2.05,310,Exact,348,Estimate,Subbituminous,Thermal,,,,,2,2024,11,6,1973,,6,2024,Godavari,Vakilpalli,Peddapalli,Telangana,Southern Asia,Asia,17.4869444,80.65777778,Exact,,,,,,,,,,,1.9,0.00,3.4,1.6,0.1,0,356
M1753,,India,Vijay Coal Mine,"Vijay East, West, Central",,,https://www.gem.wiki/Vijay_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.5,0.5,2022,,Underground,,4.38,300,Estimate,320,Estimate,Subbituminous,Thermal,,,,,8,2022,-,16,,,-,,Sendurgar,Kendai,Korba,Chhattisgarh,Southern Asia,Asia,22.854326,82.32114,Exact,,,,,,,,,,,2.6,0.00,3.3,1.6,0.1,0.1,356
M1754,,India,Vindhya Coal Mine,,,,https://www.gem.wiki/Vindhya_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.6,0.465,2023,,Underground,,-,300,Estimate,650,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,-,,Johilla,,Umaria,Madhya Pradesh,Southern Asia,Asia,23.335615,80.906108,Exact,,,,,,,,,,,2.5,0.00,3.3,1.6,0.1,0,356
M1755,,India,West Jhagrakhand Coal Mine,West JKD,,,https://www.gem.wiki/Jhagrakhand_coal_mines,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.33,0.12,2022,,Underground,,10.66,300,Estimate,283,Estimate,Subbituminous,Thermal,,,,,1,2023,-,8,1951,,-,,Jhilimili,Jhagrakhand,Korea,Chhattisgarh,Southern Asia,Asia,23.197211,82.161616,Exact,,,,,,,,,,,0.6,0.00,3.3,1.6,0,0,356
M2500,,India,Khotadih Coal Mine,Khottadih Expansion OCP,,,https://www.gem.wiki/Khotadih_Coal_Mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,2,1.35,2023,,Surface,Open Pit,-,50,Estimate,511,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.7244,87.233,Approximate,,,,,,,,,,,1.6,0.00,0.8,1.5,0.1,0,356
M2502,,India,New Akashkinaree Coal Mine,Cluster 3,,,https://www.gem.wiki/New_Akashkinaree_coal_mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,1.2,0.99,2023,,Underground & Surface,Mixed,3.47,130,Exact,589,Estimate,Bituminous,Met,,,,,17,2013,-,17,,,-,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.802565,86.278261,Exact,,,,,,,,,,,10.1,0.01,6.4,1.6,0.6,0.2,356
M2503,,India,Umarsar Lignite Mine,,,,https://www.gem.wiki/Umarsar_coal_mine,,Operating,,,,Gujarat Mineral Development Co Ltd [100%],E100001000669 [100%],,Gujarata Mineral Development Corporation,India,*,1.41,2023,,Surface,Open Pit,21.86,50,Estimate,422,Estimate,Lignite,Thermal,,,,,15,,-,11,2015,,-,,,Umarsar,Kutch,Gujarat,Southern Asia,Asia,23.73149782,68.81926985,Exact,,,,,,,,,,,1.7,0.00,0.8,1.5,0.1,0,356
